probe_id,fsetid,atom,x,y,man_fsetid,type,start,stop,feature_type,P_SKMel29_AdDNp73beta_1.CEL,P_SKMel29_AdDNp73beta_2.CEL,P_SKMel29_AdDNp73beta_3.CEL,P_SKMel29_AdGFP_1.CEL,P_SKMel29_AdGFP_2.CEL,P_SKMel29_AdGFP_3.CEL,P_SKMel29_AdTAp73alpha_1.CEL,P_SKMel29_AdTAp73alpha_2.CEL,P_SKMel29_AdTAp73alpha_3.CEL,log2_P_SKMel29_AdDNp73beta_1.CEL,log2_P_SKMel29_AdDNp73beta_2.CEL,log2_P_SKMel29_AdDNp73beta_3.CEL,log2_P_SKMel29_AdGFP_1.CEL,log2_P_SKMel29_AdGFP_2.CEL,log2_P_SKMel29_AdGFP_3.CEL,log2_P_SKMel29_AdTAp73alpha_1.CEL,log2_P_SKMel29_AdTAp73alpha_2.CEL,log2_P_SKMel29_AdTAp73alpha_3.CEL,GFP_mean_log2,GFP_sd_log2,DNp73beta_mean_log2,DNp73beta_sd_log2,TAp73alpha_mean_log2,TAp73alpha_sd_log2,log2FC_TAp73alpha_vs_GFP,log2FC_DNp73beta_vs_GFP,log2FC_TAp73alpha_vs_DNp73beta,region_midpoint,probe_plot_x
2516992,24336467,5584387,471,939,PSR1600155075.hg.1,2,31180110.0,31180137.0,probeset_region,958.7778,1155.8889,1197.1111,1726.6666,986.7778,1251.2222,1241.1111,1607.2222,1887.2222,9.906556589570785,10.17603462879012,10.226545959803651,10.754609143685107,9.948042692369857,10.29027483111142,10.278578486519192,10.651251006158137,10.882812806655174,10.330975555722127,0.40482066626433055,10.103045726054852,0.17202858543678248,10.6042140997775,0.3048509985697005,0.2732385440553742,-0.22792982966727493,0.5011683737226491,31180123.5,31180114.05
2923065,24336467,5584388,1864,1090,PSR1600155075.hg.1,2,31180110.0,31180137.0,probeset_region,71.22222,76.55556,98.111115,90.44444,93.0,60.22222,76.77778,126.666664,105.44444,6.174370889539828,6.277158256305706,6.630974947836241,6.5148235922311,6.554588851677638,5.9359834871526385,6.281286126114145,6.996238052465185,6.733956821314975,6.33513197702046,0.3462440709781667,6.3608346978939245,0.23952688089406257,6.670493666631436,0.36167629622364816,0.3353616896109761,0.025702720873464813,0.3096589687375113,31180123.5,31180120.35
4267186,24336467,5584389,625,1592,PSR1600155075.hg.1,2,31180110.0,31180137.0,probeset_region,1495.0,1743.7778,1934.2222,2141.0,1294.0,1835.1111,1961.3334,2721.5557,2344.111,10.546894459887637,10.768827629961006,10.918283485258026,11.064742764750257,10.338736382573916,10.842437628525703,10.938354441506698,11.41074583055412,11.195440547069131,10.748638925283293,0.37198113431686686,10.744668525035555,0.18686946996363807,11.18151360637665,0.23650343733089182,0.4328746810933559,-0.003970400247737871,0.4368450813410938,31180123.5,31180126.65
6608377,24336467,5584390,2176,2465,PSR1600155075.hg.1,2,31180110.0,31180137.0,probeset_region,266.55554,171.33333,311.8889,288.1111,342.66666,300.44446,250.66667,562.55554,587.44446,8.063694602181908,7.429057927013934,8.289506601560198,8.175480262196144,8.424866073943209,8.235748395753019,7.975370362648609,9.138413993975044,9.200762438618348,8.278698243964124,0.13012239573264583,7.927419710252013,0.44611782637548114,8.771515598414,0.6901863947234167,0.4928173544498762,-0.3512785337121107,0.8440958881619869,31180123.5,31180132.95
920559,24336468,5584391,1318,343,PSR1600155082.hg.1,2,31180175.0,31180214.0,probeset_region,432.66666,417.8889,546.1111,274.66666,367.44446,497.1111,297.55554,346.33334,309.77777,8.760442712155317,8.710423795035316,9.095689973510773,8.10678096521244,8.525303343162676,8.96032379242938,8.221855539029269,8.440177103810287,8.279739505551893,8.530802700268167,0.42679798695612636,8.85551882690047,0.20949250049952967,8.313924049463816,0.11310399503977617,-0.21687865080435031,0.3247161266323033,-0.5415947774366536,31180194.5,31180180.85
1852263,24336468,5584392,382,691,PSR1600155082.hg.1,2,31180175.0,31180214.0,probeset_region,241.44444,317.8889,257.66666,196.44444,185.11111,347.77777,259.55554,221.88889,257.55554,7.921510374792486,8.316910004780125,8.014950284729426,7.625302952198195,7.540020405075294,8.446164284087837,8.025447130860112,7.800180867221933,8.0143304182818,7.870495880453777,0.5003637291190121,8.084456888100679,0.20666057384694064,7.946652805454614,0.12697014153676517,0.07615692500083782,0.21396100764690207,-0.13780408264606425,31180194.5,31180186.31
2741800,24336468,5584393,159,1023,PSR1600155082.hg.1,2,31180175.0,31180214.0,probeset_region,246.22223,235.77777,221.88889,175.11111,251.44444,230.11111,204.77777,209.22223,195.44444,7.949664658874143,7.887389835019359,7.800180867221933,7.460342151362097,7.979822108373206,7.852442832753238,7.6849433342719635,7.715771418437842,7.617977545497887,7.7642023641628475,0.27074829945330176,7.879078453705145,0.07508768398474593,7.672897432735898,0.04999738197157406,-0.09130493142694984,0.11487608954229778,-0.20618102096924762,31180194.5,31180191.77
5909390,24336468,5584394,2669,2204,PSR1600155082.hg.1,2,31180175.0,31180214.0,probeset_region,144.44444,141.44444,154.44444,156.55556,158.22223,160.33333,174.77777,177.22223,204.77777,7.184324363685679,7.1542555280049935,7.280255229987073,7.299716831321731,7.314897954267925,7.333900691070422,7.457608827369848,7.4775334799098125,7.6849433342719635,7.316171825553359,0.017127496252180047,7.206278373892583,0.06580626982299503,7.5400285471838755,0.12589467654471806,0.22385672163051673,-0.10989345166077591,0.33375017329129264,31180194.5,31180197.23
6181261,24336468,5584395,1180,2306,PSR1600155082.hg.1,2,31180175.0,31180214.0,probeset_region,374.33334,438.33334,353.33334,384.77777,391.55554,474.0,428.22223,272.77777,278.55554,8.552028650459924,8.779172187691719,8.468963422228159,8.59162620564067,8.616752982601117,8.89178370321831,8.745580983584109,8.096861503515933,8.126991135440857,8.700054297153365,0.1665171540491168,8.600054753459935,0.16058408846966193,8.323144540846966,0.3661507337071592,-0.37690975630639834,-0.09999954369343023,-0.2769102126129681,31180194.5,31180202.69
6876329,24336468,5584396,2128,2565,PSR1600155082.hg.1,2,31180175.0,31180214.0,probeset_region,195.44444,171.44444,212.77777,175.44444,203.0,229.77777,200.11111,211.44444,158.66667,7.617977545497887,7.429987826560679,7.739968036561036,7.463070181838064,7.672425341971495,7.850360457006997,7.651849004852873,7.730941795024953,7.318919390972809,7.661951993605519,0.19385744138310324,7.5959778028732,0.15615672945675663,7.567236730283544,0.21865507795629535,-0.09471526332197477,-0.06597419073231858,-0.02874107258965619,31180194.5,31180208.15
