symbol,list_name,n_transcript_clusters,transcript_cluster_ids,DNp73beta_mean_log2,GFP_mean_log2,TAp73alpha_mean_log2,log2FC_TAp73alpha_vs_GFP,log2FC_DNp73beta_vs_GFP,log2FC_TAp73alpha_vs_DNp73beta,p_TAp73alpha_vs_GFP,p_DNp73beta_vs_GFP,p_TAp73alpha_vs_DNp73beta,p_paired_TAp73alpha_vs_GFP,p_paired_DNp73beta_vs_GFP,p_paired_TAp73alpha_vs_DNp73beta,q_TAp73alpha_vs_GFP,q_DNp73beta_vs_GFP,q_TAp73alpha_vs_DNp73beta,q_paired_TAp73alpha_vs_GFP,q_paired_DNp73beta_vs_GFP,q_paired_TAp73alpha_vs_DNp73beta
E2F1,List A; TP73-FUS panel,1,TC2000008894.hg.1,7.190512873966084,6.641178369819333,6.954724005371787,0.31354563555245374,0.549334504146751,-0.23578886859429726,0.6275794833965603,0.5291990804685157,0.72358758045479,0.6579838307288924,0.41006413787769325,0.72319567324223,0.7172336953103546,0.7280151749670117,0.7984414680880442,0.75198152083302,0.7010376632979655,0.8007596484681635
FUS,TP73-FUS panel,1,TC1600007521.hg.1,10.238739346182891,10.041356088834752,10.015964557959775,-0.02539153087497681,0.19738325734813955,-0.22277478822311636,0.8656115630066825,0.24791398007459672,0.04322873387997545,0.8972378551391467,0.15537489311554595,0.12778832110110697,0.883560053596993,0.7280151749670117,0.19761706916560207,0.8972378551391467,0.55244406441083,0.38734274673351504
HDAC1,TP73-FUS panel,1,TC0100007678.hg.1,9.820388517802584,9.632312040150646,10.510653693470488,0.8783416533198416,0.18807647765193813,0.6902651756679035,0.0388425015941464,0.5190262575244367,0.06432280775603157,0.041743061439283746,0.4665662989598238,0.0875418475966507,0.15290160776651285,0.7280151749670117,0.22870331646589,0.1846066682757936,0.7010376632979655,0.37068807130847514
HDAC2,TP73-FUS panel,1,TC0600012927.hg.1,9.75494430410088,9.635641089558186,9.221053142743338,-0.4145879468148479,0.11930321454269333,-0.5338911613575412,0.019610026379859435,0.5060693556831656,0.041202743252927936,0.052050397117432916,0.2924091784448081,0.03501262382402213,0.13297026409180504,0.7280151749670117,0.19761706916560207,0.1846066682757936,0.7010376632979655,0.25569389244869944
HDAC6,TP73-FUS panel,2,TC0X00007205.hg.1;TC0X00009629.hg.1,6.851373954758008,6.9558181892411195,6.985290757533436,0.02947256829231737,-0.10444423448311113,0.1339168027754285,0.8479807837105237,0.5160772205216615,0.6003724213942622,0.8548527351275348,0.4648615926630769,0.6175556178613455,0.883560053596993,0.7280151749670117,0.7389199032544765,0.8972378551391467,0.7010376632979655,0.8007596484681635
MDM2,TP73-FUS panel,1,TC1200008116.hg.1,9.228657395300127,10.108983053848199,10.943425933377746,0.8344428795295471,-0.8803256585480721,1.7147685380776192,0.1540393537708183,0.1290803983557527,0.00592797768979462,0.13854802118096415,0.06852606599750573,0.005092305390600789,0.32861728804441237,0.7280151749670117,0.1098295883046507,0.29556911185272355,0.55244406441083,0.16295377249922524
REST,TP73-FUS panel,1,TC0400007609.hg.1,8.134440486631542,8.041761690029722,8.30978257791089,0.2680208878811676,0.09267879660182032,0.1753420912793473,0.1261185130081587,0.17883327829718093,0.23486909200348777,0.13652910752591185,0.13287966246777747,0.3234409090555669,0.31044557048162147,0.7280151749670117,0.41187620222913646,0.29556911185272355,0.55244406441083,0.5067784724590334
TARDBP,TP73-FUS panel,1,TC0100006840.hg.1,9.809139025586253,9.592408736803753,9.680742729563294,0.08833399275954079,0.21673028878250022,-0.12839629602295943,0.4378894607660883,0.24873624551364154,0.45937787925154,0.18682798057888583,0.07533081127209254,0.32437424454999064,0.5838526143547844,0.7280151749670117,0.6391344406977948,0.35444650846729475,0.55244406441083,0.5067784724590334
TERT,TP73-FUS panel,2,TC0500009852.hg.1;TC0500009853.hg.1,6.593405138459762,6.400071886185487,6.483528613648323,0.08345672746283528,0.1933332522742739,-0.10987652481143861,0.2888874791763325,0.5408215367520762,0.55922552908545,0.4280172672862148,0.48445828321873274,0.6540279108930174,0.5135777407579245,0.7280151749670117,0.7347692467497304,0.6229671893667149,0.7010376632979655,0.8007596484681635
